NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
Andre Moore,7/2/1964,77632,https://www.nba.com/stats/player/77632/career/,Andre Moore,moorean01,7/2/1964,https://www.basketball-reference.com/players/m/moorean01.html,53,F,6'9,215 lbs,Loyola-Chicago,USA
Andre Owens,10/31/1980,101261,https://www.nba.com/stats/player/101261/career/,Andre Owens,owensan01,10/31/1980,https://www.basketball-reference.com/players/o/owensan01.html,20,G,6'4,200 lbs,Houston,USA
Andre Roberson,12/4/1991,203460,https://www.nba.com/stats/player/203460/career/,Andre Roberson,roberan03,12/4/1991,https://www.basketball-reference.com/players/r/roberan03.html,21,G-F,6'7,210 lbs,Colorado,USA
Andre Spencer,7/20/1964,78227,https://www.nba.com/stats/player/78227/career/,Andre Spencer,spencan01,7/20/1964,https://www.basketball-reference.com/players/s/spencan01.html,20,F,6'6,210 lbs,Northern Arizona,USA
Andre Turner,12/13/1964,78377,https://www.nba.com/stats/player/78377/career/,Andre Turner,turnean01,12/13/1964,https://www.basketball-reference.com/players/t/turnean01.html,1,G,5'11,160 lbs,Memphis,USA
Andre Wakefield,1/11/1955,78431,https://www.nba.com/stats/player/78431/career/,Andre Wakefield,wakefan01,1/11/1955,https://www.basketball-reference.com/players/w/wakefan01.html,15,G,6'2,175 lbs,Loyola-Chicago,USA
Andrea Bargnani,10/26/1985,200745,https://www.nba.com/stats/player/200745/career/,Andrea Bargnani,bargnan01,10/26/1985,https://www.basketball-reference.com/players/b/bargnan01.html,77,C-F,7'1,245 lbs,Benetton Treviso,Italy
Andreas Glyniadakis,8/26/1981,2601,https://www.nba.com/stats/player/2601/career/,Andreas Glyniadakis,glynian01,8/21/1981,https://www.basketball-reference.com/players/g/glynian01.html,35,C,7'1,280 lbs,AEK Athens,Greece
Andrei Kirilenko,2/18/1981,1905,https://www.nba.com/stats/player/1905/career/,Andrei Kirilenko,kirilan01,2/18/1981,https://www.basketball-reference.com/players/k/kirilan01.html,47,F,6'9,235 lbs,CSKA Moscow,Russia
Andres Guibert,10/28/1968,76903,https://www.nba.com/stats/player/76903/career/,AndrÈs Guibert,guibean01,10/28/1968,https://www.basketball-reference.com/players/g/guibean01.html,51,C,6'10,225 lbs,Cantera Instituto,Cuba
Andres Nocioni,11/30/1979,2804,https://www.nba.com/stats/player/2804/career/,AndrÈs Nocioni,nocioan01,11/30/1979,https://www.basketball-reference.com/players/n/nocioan01.html,5,F,6'7,225 lbs,Tau Ceramica,Argentina
Andrew Bogut,11/28/1984,101106,https://www.nba.com/stats/player/101106/career/,Andrew Bogut,bogutan01,11/28/1984,https://www.basketball-reference.com/players/b/bogutan01.html,12,C,7'1,260 lbs,Utah,Australia
Andrew Bynum,10/27/1987,101115,https://www.nba.com/stats/player/101115/career/,Andrew Bynum,bynuman01,10/27/1987,https://www.basketball-reference.com/players/b/bynuman01.html,17,C,7'1,285 lbs,St. Joseph HS (NJ),USA
Andrew DeClercq,2/1/1973,692,https://www.nba.com/stats/player/692/career/,Andrew DeClercq,declean01,2/1/1973,https://www.basketball-reference.com/players/d/declean01.html,55,C,6'10,255 lbs,Florida,USA
Andrew Gaze,7/24/1965,1845,https://www.nba.com/stats/player/1845/career/,Andrew Gaze,gazean01,7/24/1965,https://www.basketball-reference.com/players/g/gazean01.html,4,F,6'7,205 lbs,Seton Hall,USA
Andrew Goudelock,12/7/1988,202726,https://www.nba.com/stats/player/202726/career/,Andrew Goudelock,goudean01,12/7/1988,https://www.basketball-reference.com/players/g/goudean01.html,0,G,6'3,200 lbs,College of Charleston,USA
Andrew Harrison,10/28/1994,1626150,https://www.nba.com/stats/player/1626150/career/,Andrew Harrison,harrian01,10/28/1994,https://www.basketball-reference.com/players/h/harrian01.html,5,G,6'6,213 lbs,Kentucky,USA
Andrew Lang,6/28/1966,457,https://www.nba.com/stats/player/457/career/,Andrew Lang,langan01,6/28/1966,https://www.basketball-reference.com/players/l/langan01.html,28,C,6'11,275 lbs,Arkansas,USA
