,Date,Team,Acquired,Relinquished,Notes
21767,2017-11-01,Jazz,Tony Bradley,,activated from IL
21768,2017-11-01,Kings,,Georgios Papagiannis,placed on IL
21769,2017-11-01,Kings,Garrett Temple,,activated from IL
21770,2017-11-01,Mavericks,,Gian Clavell,placed on IL
21771,2017-11-01,Raptors,,Bruno Caboclo,placed on IL
21772,2017-11-01,Raptors,Jonas Valanciunas,,activated from IL
21773,2017-11-01,Rockets,,Troy Williams,placed on IL
21774,2017-11-01,Wizards,,Otto Porter Jr.,placed on IL with stomach virus
21775,2017-11-01,Wizards,Markieff Morris,,activated from IL
21776,2017-11-01,Grizzlies,Ivan Rabb,,activated from IL
21777,2017-11-02,Blazers,,Al-Farouq Aminu,placed on IL with sprained right ankle
21778,2017-11-02,Spurs,,Matt Costello,placed on IL
21779,2017-11-02,Wizards,Devin Robinson,,activated from IL
21780,2017-11-03,76ers,,Furkan Korkmaz,placed on IL
21781,2017-11-03,76ers,Richaun Holmes,,activated from IL
21782,2017-11-03,Cavaliers,,Tristan Thompson,placed on IL with strained left calf
21783,2017-11-03,Celtics,Marcus Morris,,activated from IL
21784,2017-11-03,Hornets,,Marcus Paige,placed on IL
21785,2017-11-03,Hornets,Michael Carter-Williams,,activated from IL
21786,2017-11-03,Lakers,,Andrew Bogut,placed on IL with tightness in back
21787,2017-11-03,Lakers,,Larry Nance Jr.,placed on IL recovering from surgery on left hand/thumb to repair fracture
21788,2017-11-03,Lakers,Luol Deng,,activated from IL
21789,2017-11-03,Magic,,Khem Birch,placed on IL
21790,2017-11-03,Magic,Jonathan Isaac,,activated from IL
21791,2017-11-03,Mavericks,Gian Clavell,,activated from IL
21792,2017-11-03,Pacers,Myles Turner,,activated from IL
21793,2017-11-03,Pistons,,Jon Leuer,placed on IL with sprained left ankle
21794,2017-11-03,Pistons,Luke Kennard,,activated from IL
21795,2017-11-03,Raptors,,C.J. Miles,placed on IL with flu
21796,2017-11-03,Raptors,Bruno Caboclo,,activated from IL
21797,2017-11-03,Wizards,Otto Porter Jr.,,activated from IL
21798,2017-11-04,Grizzlies,,Ivan Rabb,placed on IL
21799,2017-11-04,Grizzlies,,Kobi Simmons,placed on IL
21800,2017-11-04,Kings,Georgios Papagiannis,,activated from IL
21801,2017-11-04,Warriors,,Shaun Livingston,placed on IL
21802,2017-11-04,Warriors,Kevon Looney,,activated from IL
21803,2017-11-04,Grizzlies,Wayne Selden Jr.,,activated from IL
21804,2017-11-05,Bullets,Marion Hillard,,activated from IL
21805,2017-11-05,Hornets,Michael Carter-Williams,,activated from IL
21806,2017-11-05,Lakers,,Luol Deng,placed on IL
21807,2017-11-05,Lakers,Thomas Bryant,,activated from IL
21808,2017-11-05,Lakers,Vander Blue,,activated from IL
21809,2017-11-05,Pacers,,T.J. Leaf,placed on IL with sprained left ankle
21810,2017-11-05,Raptors,,Alfonzo McKinnie,placed on IL
21811,2017-11-05,Raptors,C.J. Miles,,activated from IL
21812,2017-11-05,Spurs,,Derrick White,placed on IL with fractured right wrist
21813,2017-11-05,Wizards,,John Wall,placed on IL with sprained left shoulder
21814,2017-11-05,Heat,Derrick Walton Jr.,,activated from IL
21815,2017-11-06,Celtics,,Marcus Morris,placed on IL with rehab of left knee
21816,2017-11-06,Hawks,,Mike Muscala,placed on IL with sprained left ankle
21817,2017-11-06,Nets,,Jarrett Allen,placed on IL with strained left foot
21818,2017-11-06,Nets,Quincy Acy,,activated from IL
21819,2017-11-06,Warriors,,David West,placed on IL for rest
21820,2017-11-06,Warriors,Shaun Livingston,,activated from IL
21821,2017-11-06,Celtics,Jabari Bird,,activated from IL
21822,2017-11-07,76ers,,Joel Embiid,placed on IL for rest
21823,2017-11-07,76ers,Richaun Holmes,,activated from IL
21824,2017-11-07,Bulls,,David Nwaba,placed on IL with sprained right ankle
21825,2017-11-07,Bulls,Antonio Blakeney,,activated from IL
21826,2017-11-07,Cavaliers,Iman Shumpert,,activated from IL
21827,2017-11-07,Kings,,Georgios Papagiannis,placed on IL
21828,2017-11-07,Mavericks,,Gian Clavell,placed on IL
21829,2017-11-07,Mavericks,Dorian Finney-Smith,,activated from IL
21830,2017-11-07,Nets,,Trevor Booker,placed on IL with sore lower back
21831,2017-11-07,Pacers,,Domantas Sabonis,placed on IL with bruised right calf
21832,2017-11-07,Pacers,T.J. Leaf,,activated from IL
21833,2017-11-07,Wizards,John Wall,,activated from IL
21834,2017-11-07,Raptors,,Bruno Caboclo,placed on IL
21835,2017-11-07,Nets,Isaiah Whitehead,,activated from IL
21836,2017-11-07,Raptors,Alfonzo McKinnie,,activated from IL
21837,2017-11-08,Celtics,,Al Horford,placed on IL with concussion
21838,2017-11-08,Celtics,,Jabari Bird,placed on IL
21839,2017-11-08,Celtics,Marcus Morris,,activated from IL
21840,2017-11-08,Heat,,Tyler Johnson,placed on IL with illness
21841,2017-11-08,Knicks,,Kristaps Porzingis,placed on IL with sprained left ankle
21842,2017-11-08,Knicks,Mindaugas Kuzminskas,,activated from IL
21843,2017-11-08,Lakers,,Thomas Bryant,placed on IL
21844,2017-11-08,Lakers,Andrew Bogut,,activated from IL
21845,2017-11-08,Magic,,D.J. Augustine,placed on IL with strained left hamstring (DTD)
21846,2017-11-08,Magic,Elfrid Payton,,activated from IL
21847,2017-11-08,Pistons,,Stanley Johnson,placed on IL with left hip flexor injury
21848,2017-11-08,Pistons,Luis Montero,,activated from IL
21849,2017-11-08,Warriors,,Kevin Durant,placed on IL with bruised left thigh
21850,2017-11-08,Warriors,David West,,activated from IL
21851,2017-11-09,76ers,,Jerryd Bayless,placed on IL with bruised left wrist
21852,2017-11-09,76ers,Furkan Korkmaz,,activated from IL
21853,2017-11-09,76ers,Joel Embiid,,activated from IL
21854,2017-11-09,Cavaliers,,Derrick Rose,placed on IL with sprained left ankle
21855,2017-11-09,Kings,,Vince Carter,placed on IL with kidney stone
21856,2017-11-09,Nuggets,,Tyler Lydon,placed on IL with ankle injury
21857,2017-11-09,Raptors,,Alfonzo McKinnie,placed on IL
21858,2017-11-10,Bucks,,Mirza Teletovic,placed on IL with sore left knee
21859,2017-11-10,Bucks,,Sterling Brown,placed on IL
21860,2017-11-10,Bucks,Joel Bolomboy,,activated from IL
21861,2017-11-10,Bulls,,Antonio Blakeney,placed on IL
21862,2017-11-10,Celtics,Jabari Bird,,activated from IL
21863,2017-11-10,Clippers,,Patrick Beverley,placed on IL with sore right knee
21864,2017-11-10,Clippers,C.J. Williams,,activated from IL
21865,2017-11-10,Hawks,Ersan Ilyasova,,activated from IL
21866,2017-11-10,Heat,,Derrick Walton Jr.,placed on IL
21867,2017-11-10,Heat,Tyler Johnson,,activated from IL
21868,2017-11-10,Magic,,Wesley Iwundu,placed on IL
21869,2017-11-10,Nets,,Tyler Zeller,placed on IL with illness
21870,2017-11-10,Nets,Trevor Booker,,activated from IL
21871,2017-11-10,Pacers,,Alex Poythress,placed on IL
21872,2017-11-10,Pacers,Domantas Sabonis,,activated from IL
21873,2017-11-10,Spurs,,Darrun Hilliard,placed on IL
21874,2017-11-10,Suns,,Greg Monroe,placed on IL with strained left calf
21875,2017-11-10,Suns,,Tyson Chandler,placed on IL with back spasms
21876,2017-11-10,Thunder,,Steven Adams,placed on IL with bruised right calf
21877,2017-11-10,Thunder,Kyle Singler,,activated from IL
21878,2017-11-11,76ers,,Nik Stauskas,placed on IL with sprained right ankle
21879,2017-11-11,76ers,James Michael McAdoo,,activated from IL
21880,2017-11-11,Grizzlies,Ben McLemore,,activated from IL
21881,2017-11-11,Hawks,,Ersan Ilyasova,placed on IL with bone bruise
21882,2017-11-11,Hawks,DeAndre' Bembry,,activated from IL
21883,2017-11-11,Kings,,Harry Giles,placed on IL recovering from surgery / rehab of knees (out for season)
21884,2017-11-11,Knicks,,Mindaugas Kuzminskas,placed on IL
21885,2017-11-11,Knicks,Kristaps Porzingis,,activated from IL
21886,2017-11-11,Nets,,Spencer Dinwiddie,placed on IL with tightness in right hamstring
21887,2017-11-11,Nets,Tyler Zeller,,activated from IL
21888,2017-11-11,Nuggets,,Gary Harris,placed on IL with sore right shoulder
21889,2017-11-11,Nuggets,Juancho Hernangomez,,activated from IL
21890,2017-11-11,Spurs,,Danny Green,placed on IL for rest
21891,2017-11-11,Spurs,Darrun Hilliard,,activated from IL
21892,2017-11-11,Spurs,Matt Costello,,activated from IL
21893,2017-11-11,Suns,,Derrick Jones Jr.,placed on IL
21894,2017-11-11,Suns,,Jared Dudley,placed on IL with sprained right knee
21895,2017-11-11,Suns,Alec Peters,,activated from IL
21896,2017-11-11,Suns,Tyson Chandler,,activated from IL
21897,2017-11-11,Warriors,,Andre Iguodala,placed on IL for rest
21898,2017-11-11,Warriors,Kevin Durant,,activated from IL
21899,2017-11-12,Celtics,,Kyrie Irving,placed on IL with minor facial fracture
21900,2017-11-12,Celtics,Al Horford,,activated from IL
21901,2017-11-12,Mavericks,,Devin Harris,placed on IL with bruised ribs
21902,2017-11-12,Mavericks,Gian Clavell,,activated from IL
21903,2017-11-12,Raptors,,Alfonzo McKinnie,placed on IL
21904,2017-11-13,76ers,,Jahlil Okafor,placed on IL with upper respiratory infection
21905,2017-11-13,Grizzlies,,Deyonta Davis,placed on IL
21906,2017-11-13,Grizzlies,Vincent Hunter,,activated from IL
21907,2017-11-13,Hawks,,DeAndre' Bembry,placed on IL recovering from surgery on right wrist to repair fracture
21908,2017-11-13,Hawks,,Tyler Dorsey,placed on IL
21909,2017-11-13,Jazz,,Rudy Gobert,placed on IL with bruised tibia in right leg
21910,2017-11-13,Kings,Georgios Papagiannis,,activated from IL
21911,2017-11-13,Pelicans,Rajon Rondo,,activated from IL
21912,2017-11-13,Suns,,Alec Peters,placed on IL
21913,2017-11-13,Warriors,,Jordan Bell,placed on IL
21914,2017-11-13,Warriors,,Stephen Curry,placed on IL with bruised right thigh
21915,2017-11-13,Warriors,Andre Iguodala,,activated from IL
21916,2017-11-13,Jazz,Nate Wolters,,activated from IL
21917,2017-11-13,Warriors,Quinn Cook,,activated from IL
21918,2017-11-14,Celtics,,Jabari Bird,placed on IL
21919,2017-11-14,Celtics,Kyrie Irving,,activated from IL
21920,2017-11-14,Grizzlies,JaMychal Green,,activated from IL
21921,2017-11-14,Mavericks,,Dorian Finney-Smith,placed on IL with tendinitis in left knee/quadriceps
21922,2017-11-14,Nets,,D'Angelo Russell,placed on IL with bruised left knee
21923,2017-11-14,Nets,,Jacob Wiley,placed on IL
21924,2017-11-14,Nets,Jarrett Allen,,activated from IL
21925,2017-11-14,Nets,Spencer Dinwiddie,,activated from IL
21926,2017-11-14,Raptors,,Norman Powell,placed on IL with right hip pointer
21927,2017-11-14,Spurs,,Darrun Hilliard,placed on IL
21928,2017-11-14,Spurs,,Matt Costello,placed on IL
21929,2017-11-14,Spurs,Danny Green,,activated from IL
21930,2017-11-14,Spurs,Joffrey Lauvergne,,activated from IL
21931,2017-11-15,76ers,,James Michael McAdoo,placed on IL
21932,2017-11-15,76ers,Jahlil Okafor,,activated from IL
21933,2017-11-15,Blazers,Meyers Leonard,,activated from IL
21934,2017-11-15,Bucks,Gary Payton II,,activated from IL
21935,2017-11-15,Bulls,Antonio Blakeney,,activated from IL
21936,2017-11-15,Grizzlies,,Mike Conley Jr.,placed on IL with sore left Achilles (out for season)
21937,2017-11-15,Hawks,Ersan Ilyasova,,activated from IL
21938,2017-11-15,Heat,Tyler Johnson,,activated from IL
21939,2017-11-15,Hornets,,Treveon Graham,placed on IL with bruised right quadriceps
21940,2017-11-15,Hornets,Nicolas Batum,,activated from IL
21941,2017-11-15,Jazz,,Nate Wolters,placed on IL
21942,2017-11-15,Lakers,,Ivica Zubac,placed on IL
21943,2017-11-15,Lakers,,Josh Hart,placed on IL
21944,2017-11-15,Lakers,Thomas Bryant,,activated from IL
21945,2017-11-15,Pacers,,Ike Anigbogu,placed on IL
21946,2017-11-15,Pacers,Alex Poythress,,activated from IL
21947,2017-11-15,Pelicans,Charles Cooke,,activated from IL
21948,2017-11-15,Pelicans,Jalen Jones,,activated from IL
21949,2017-11-15,Pistons,,Henry Ellenson,placed on IL
21950,2017-11-15,Pistons,,Luis Montero,placed on IL
21951,2017-11-15,Pistons,Jon Leuer,,activated from IL
21952,2017-11-15,Pistons,Stanley Johnson,,activated from IL
21953,2017-11-15,Thunder,,Kyle Singler,placed on IL
21954,2017-11-15,Thunder,Daniel Hamilton,,activated from IL
21955,2017-11-15,Hawks,,Nicolas Brussino,placed on IL
21956,2017-11-15,Hawks,Miles Plumlee,,activated from IL
21957,2017-11-16,Rockets,,Demetrius Jackson,placed on IL
21958,2017-11-16,Rockets,,Luc Richard Mbah a Moute,placed on IL with illness
21959,2017-11-16,Rockets,Chris Paul,,activated from IL
21960,2017-11-16,Suns,,Tyson Chandler,placed on IL with illness
21961,2017-11-16,Suns,Greg Monroe,,activated from IL
21962,2017-11-16,Warriors,,Quinn Cook,placed on IL
21963,2017-11-16,Warriors,Stephen Curry,,activated from IL
21964,2017-11-17,Clippers,,C.J. Williams,placed on IL
21965,2017-11-17,Clippers,,Danilo Gallinari,placed on IL with strained left gluteus muscle
21966,2017-11-17,Clippers,Jamil Wilson,,activated from IL
21967,2017-11-17,Clippers,Patrick Beverley,,activated from IL
21968,2017-11-17,Heat,,Okaro White,placed on IL with fractured left foot (surgery)
21969,2017-11-17,Hornets,Treveon Graham,,activated from IL
21970,2017-11-17,Jazz,,Thabo Sefolosha,placed on IL with sore right knee
21971,2017-11-17,Kings,,Georgios Papagiannis,placed on IL
21972,2017-11-17,Kings,Jack Cooley,,activated from IL
21973,2017-11-17,Mavericks,Devin Harris,,activated from IL
21974,2017-11-17,Nuggets,,Richard Jefferson,placed on IL
21975,2017-11-17,Nuggets,Gary Harris,,activated from IL
21976,2017-11-17,Pistons,,Jon Leuer,placed on IL with sprained left ankle (surgery) (out for season)
21977,2017-11-17,Pistons,Henry Ellenson,,activated from IL
21978,2017-11-17,Raptors,,Delon Wright,placed on IL with dislocated right shoulder
21979,2017-11-17,Raptors,,Serge Ibaka,placed on IL with swelling in left knee
21980,2017-11-17,Raptors,Bruno Caboclo,,activated from IL
21981,2017-11-17,Raptors,Lorenzo Brown,,activated from IL
21982,2017-11-17,Suns,Alec Peters,,activated from IL
21983,2017-11-17,Thunder,,Daniel Hamilton,placed on IL
21984,2017-11-17,Thunder,Steven Adams,,activated from IL
21985,2017-11-17,Jazz,Nate Wolters,,activated from IL
21986,2017-11-18,76ers,Jerryd Bayless,,activated from IL
21987,2017-11-18,Bucks,,Matthew Dellavedova,placed on IL with left knee tendinitis
21988,2017-11-18,Grizzlies,,Wayne Selden Jr.,placed on IL with sore right quadriceps
21989,2017-11-18,Grizzlies,Vincent Hunter,,activated from IL
21990,2017-11-18,Hawks,,Isaiah Taylor,placed on IL with eye contusion
21991,2017-11-18,Hawks,DeAndre' Bembry,,activated from IL
21992,2017-11-18,Jazz,Thabo Sefolosha,,activated from IL
21993,2017-11-18,Kings,,Buddy Hield,placed on IL with sore/sprained right ankle
21994,2017-11-18,Magic,D.J. Augustine,,activated from IL
21995,2017-11-18,Rockets,Luc Richard Mbah a Moute,,activated from IL
21996,2017-11-18,Hawks,Mike Muscala,,activated from IL
21997,2017-11-19,Lakers,,Vander Blue,placed on IL
21998,2017-11-19,Lakers,Ivica Zubac,,activated from IL
21999,2017-11-19,Lakers,Josh Hart,,activated from IL
22000,2017-11-19,Nuggets,,Malik Beasley,placed on IL
22001,2017-11-19,Nuggets,Richard Jefferson,,activated from IL
22002,2017-11-19,Pistons,Henry Ellenson,,activated from IL
22003,2017-11-19,Raptors,Serge Ibaka,,activated from IL
22004,2017-11-19,Suns,,Alec Peters,placed on IL
22005,2017-11-19,Warriors,,Kevin Durant,placed on IL with sprained left ankle
22006,2017-11-19,Warriors,Jordan Bell,,activated from IL
22007,2017-11-19,Heat,Derrick Walton Jr.,,activated from IL
22008,2017-11-19,Suns,Derrick Jones Jr.,,activated from IL
22009,2017-11-20,Cavaliers,,Iman Shumpert,placed on IL with left knee injury
22010,2017-11-20,Grizzlies,,Brandan Wright,placed on IL with right groin injury
22011,2017-11-20,Hawks,,Mike Muscala,placed on IL with sprained left ankle
22012,2017-11-20,Hawks,Miles Plumlee,,activated from IL
22013,2017-11-20,Kings,,Jack Cooley,placed on IL
22014,2017-11-20,Magic,,Jonathan Isaac,placed on IL with sprained right ankle
22015,2017-11-20,Nuggets,,Paul Millsap,placed on IL with sprained left wrist
22016,2017-11-20,Nuggets,,Wilson Chandler,placed on IL with sore lower back
22017,2017-11-20,Nuggets,Malik Beasley,,activated from IL
22018,2017-11-20,Nuggets,Tyler Lydon,,activated from IL
22019,2017-11-20,Magic,Khem Birch,,activated from IL
22020,2017-11-22,76ers,,Justin Anderson,placed on IL with shin splints in left leg
22021,2017-11-22,76ers,Jahlil Okafor,,activated from IL
22022,2017-11-22,Bucks,,John Henson,placed on IL with eye procedure
22023,2017-11-22,Bucks,Sterling Brown,,activated from IL
22024,2017-11-22,Cavaliers,John Holland,,activated from IL
22025,2017-11-22,Clippers,,Brice Johnson,placed on IL
22026,2017-11-22,Clippers,C.J. Williams,,activated from IL
22027,2017-11-22,Hawks,,Luke Babbitt,placed on IL with lower back injury
22028,2017-11-22,Hawks,DeAndre' Bembry,,activated from IL
22029,2017-11-22,Jazz,,Nate Wolters,placed on IL
22030,2017-11-22,Kings,Buddy Hield,,activated from IL
22031,2017-11-22,Kings,Vince Carter,,activated from IL
22032,2017-11-22,Lakers,,Thomas Bryant,placed on IL
22033,2017-11-22,Magic,,Khem Birch,placed on IL
22034,2017-11-22,Nuggets,,Tyler Lydon,placed on IL
22035,2017-11-22,Nuggets,Wilson Chandler,,activated from IL
22036,2017-11-22,Pelicans,,Charles Cooke,placed on IL
22037,2017-11-22,Pelicans,,Jalen Jones,placed on IL
22038,2017-11-22,Pelicans,Omer Asik,,activated from IL
22039,2017-11-22,Raptors,Norman Powell,,activated from IL
22040,2017-11-22,Rockets,,Ryan Anderson,placed on IL with illness
22041,2017-11-22,Rockets,Troy Williams,,activated from IL
22042,2017-11-22,Suns,Tyson Chandler,,activated from IL
22043,2017-11-22,Warriors,,Jordan Bell,placed on IL
22044,2017-11-22,Warriors,Kevin Durant,,activated from IL
22045,2017-11-22,Hawks,Josh Magette,,activated from IL
22046,2017-11-22,Rockets,Briante Weber,,activated from IL
22047,2017-11-22,Clippers,,Patrick Beverley,placed on IL recovering from arthroscopic surgery on right knee to repair lateral meniscus (out for season)
22048,2017-11-22,Raptors,,Bruno Caboclo,placed on IL
22049,2017-11-24,Hawks,Tyler Dorsey,,activated from IL
22050,2017-11-24,Knicks,,Enes Kanter,placed on IL with back spasms
22051,2017-11-24,Knicks,,Joakim Noah,placed on IL with illness
22052,2017-11-24,Knicks,Ron Baker,,activated from IL
22053,2017-11-24,Suns,Jared Dudley,,activated from IL
22054,2017-11-24,Timberwolves,,Nemanja Bjelica,placed on IL with sprained left foot
22055,2017-11-24,Timberwolves,Anthony Brown,,activated from IL
22056,2017-11-24,Warriors,,Draymond Green,placed on IL for rest
22057,2017-11-24,Warriors,,Kevin Durant,placed on IL with sprained left ankle
22058,2017-11-24,Warriors,Jordan Bell,,activated from IL
22059,2017-11-24,Warriors,Quinn Cook,,activated from IL
22060,2017-11-24,Cavaliers,London Perrantes,,activated from IL
22061,2017-11-25,76ers,Jacob Pullen,,activated from IL
22062,2017-11-25,Bucks,,D.J. Wilson,placed on IL
22063,2017-11-25,Bucks,John Henson,,activated from IL
22064,2017-11-25,Celtics,,Marcus Morris,placed on IL
22065,2017-11-25,Celtics,Jabari Bird,,activated from IL
22066,2017-11-25,Kings,Vince Carter,,activated from IL
22067,2017-11-25,Pacers,,Victor Oladipo,placed on IL with bruised right knee
22068,2017-11-25,Pacers,Ike Anigbogu,,activated from IL
22069,2017-11-25,Rockets,,Zhou Qi,placed on IL
22070,2017-11-25,Rockets,Ryan Anderson,,activated from IL
22071,2017-11-25,Warriors,,Quinn Cook,placed on IL
22072,2017-11-25,Warriors,Draymond Green,,activated from IL
22073,2017-11-25,Wizards,,John Wall,placed on IL with sore left knee / left knee inflammation
22074,2017-11-26,Nets,,Isaiah Whitehead,placed on IL
22075,2017-11-26,Suns,,Derrick Jones Jr.,placed on IL
22076,2017-11-26,Suns,Alec Peters,,activated from IL
22077,2017-11-26,Grizzlies,Ivan Rabb,,activated from IL
22078,2017-11-27,76ers,,Jacob Pullen,placed on IL
22079,2017-11-27,Cavaliers,Iman Shumpert,,activated from IL
22080,2017-11-27,Celtics,Marcus Morris,,activated from IL
22081,2017-11-27,Knicks,,Ron Baker,placed on IL
22082,2017-11-27,Knicks,Joakim Noah,,activated from IL
22083,2017-11-27,Lakers,Larry Nance Jr.,,activated from IL
22084,2017-11-27,Nets,,Rondae Hollis-Jefferson,placed on IL with sprained right ankle
22085,2017-11-27,Pacers,Victor Oladipo,,activated from IL
22086,2017-11-27,Spurs,William) Tony Parker,,activated from IL
22087,2017-11-27,Warriors,,Stephen Curry,placed on IL with bruised right hand
22088,2017-11-27,Warriors,Quinn Cook,,activated from IL
22089,2017-11-27,Cavaliers,,London Perrantes,placed on IL
22090,2017-11-27,Nets,Isaiah Whitehead,,activated from IL
22091,2017-11-27,Pacers,,Ike Anigbogu,placed on IL
22092,2017-11-28,Bucks,,Sterling Brown,placed on IL
22093,2017-11-28,Bucks,D.J. Wilson,,activated from IL
22094,2017-11-28,Cavaliers,,Iman Shumpert,placed on IL with left knee effusion
22095,2017-11-28,Jazz,Nate Wolters,,activated from IL
22096,2017-11-28,Nuggets,,Wilson Chandler,placed on IL with sore lower back
22097,2017-11-28,Nuggets,Torrey Craig,,activated from IL
22098,2017-11-29,76ers,,Jahlil Okafor,placed on IL
22099,2017-11-29,76ers,James Michael McAdoo,,activated from IL
22100,2017-11-29,Grizzlies,,Mario Chalmers,placed on IL with sore right ankle
22101,2017-11-29,Grizzlies,Kobi Simmons,,activated from IL
22102,2017-11-29,Hornets,,Kemba Walker,placed on IL with bruised left shoulder
22103,2017-11-29,Hornets,Julyan Stone,,activated from IL
22104,2017-11-29,Knicks,,Frank Ntilikina,placed on IL with sprained left ankle
22105,2017-11-29,Knicks,,Joakim Noah,placed on IL
22106,2017-11-29,Knicks,Enes Kanter,,activated from IL
22107,2017-11-29,Lakers,,Kyle Kuzma,placed on IL with back spasms
22108,2017-11-29,Lakers,Thomas Bryant,,activated from IL
22109,2017-11-29,Pacers,,Alex Poythress,placed on IL
22110,2017-11-29,Suns,,Alec Peters,placed on IL
22111,2017-11-29,Warriors,,David West,placed on IL with sore left knee
22112,2017-11-29,Warriors,Kevin Durant,,activated from IL
22113,2017-11-29,Warriors,Stephen Curry,,activated from IL
22114,2017-11-29,Rockets,,Troy Williams,placed on IL
22115,2017-11-29,Warriors,,Quinn Cook,placed on IL
22116,2017-11-29,Knicks,Ron Baker,,activated from IL
22117,2017-11-30,76ers,,Joel Embiid,placed on IL
22118,2017-11-30,76ers,,T.J. McConnell,placed on IL with bruised/sprained left shoulder
22119,2017-11-30,76ers,Justin Anderson,,activated from IL
22120,2017-11-30,76ers,Nik Stauskas,,activated from IL
22121,2017-11-30,Blazers,,Caleb Swanigan,placed on IL
22122,2017-11-30,Blazers,Al-Farouq Aminu,,activated from IL
22123,2017-11-30,Celtics,,Jabari Bird,placed on IL
22124,2017-11-30,Clippers,,Blake Griffin,placed on IL with sprained MCL in left knee
22125,2017-11-30,Clippers,Brice Johnson,,activated from IL
22126,2017-11-30,Hawks,,Dewayne Dedmon,placed on IL with stress reaction in left tibia
22127,2017-11-30,Hawks,,Tyler Dorsey,placed on IL
22128,2017-11-30,Hawks,Isaiah Taylor,,activated from IL
22129,2017-11-30,Hawks,Luke Babbitt,,activated from IL
22130,2017-11-30,Jazz,,Raulzinho Neto,placed on IL with sore left hamstring
22131,2017-11-30,76ers,Jacob Pullen,,activated from IL
22132,2017-12-01,Bulls,David Nwaba,,activated from IL
22133,2017-12-01,Grizzlies,,Ivan Rabb,placed on IL
22134,2017-12-01,Grizzlies,,Kobi Simmons,placed on IL
22135,2017-12-01,Grizzlies,Brandan Wright,,activated from IL
22136,2017-12-01,Grizzlies,Mario Chalmers,,activated from IL
22137,2017-12-01,Heat,,Derrick Walton Jr.,placed on IL
22138,2017-12-01,Jazz,,Rodney Hood,placed on IL with sore left ankle
22139,2017-12-01,Kings,,Malachi Richardson,placed on IL
22140,2017-12-01,Kings,Jack Cooley,,activated from IL
22141,2017-12-01,Magic,,Terrence Ross,placed on IL with sprained MCL in right knee and fractured right leg
22142,2017-12-01,Raptors,,Lucas Nogueira,placed on IL with strained right calf
22143,2017-12-01,Timberwolves,,Anthony Brown,placed on IL
22144,2017-12-01,Warriors,,Andre Iguodala,placed on IL with sore left knee
22145,2017-12-01,Warriors,David West,,activated from IL
22146,2017-12-01,Magic,Khem Birch,,activated from IL
22147,2017-12-01,Magic,Wesley Iwundu,,activated from IL
22148,2017-12-02,76ers,,Furkan Korkmaz,placed on IL
22149,2017-12-02,76ers,,James Michael McAdoo,placed on IL
22150,2017-12-02,76ers,,Justin Anderson,placed on IL with shin splints in left leg
22151,2017-12-02,76ers,Joel Embiid,,activated from IL
22152,2017-12-02,Blazers,,Zach Collins,placed on IL
22153,2017-12-02,Blazers,Caleb Swanigan,,activated from IL
22154,2017-12-02,Grizzlies,,Brandan Wright,placed on IL with sore right groin
22155,2017-12-02,Grizzlies,,Chandler Parsons,"placed on IL with sore right knee, sore right ankle"
22156,2017-12-02,Grizzlies,Kobi Simmons,,activated from IL
22157,2017-12-02,Hawks,,Mike Muscala,placed on IL with sprained left ankle
22158,2017-12-02,Kings,,Justin Jackson,placed on IL
22159,2017-12-02,Lakers,,Ivica Zubac,placed on IL
22160,2017-12-02,Lakers,Kyle Kuzma,,activated from IL
22161,2017-12-02,Nets,Rondae Hollis-Jefferson,,activated from IL
22162,2017-12-02,Nuggets,,Nikola Jokic,placed on IL with sprained left ankle
22163,2017-12-02,Nuggets,,Torrey Craig,placed on IL
22164,2017-12-02,Nuggets,Tyler Lydon,,activated from IL
22165,2017-12-02,Grizzlies,Ivan Rabb,,activated from IL
22166,2017-12-02,Hawks,Tyler Dorsey,,activated from IL
22167,2017-12-02,Kings,,JaKarr Sampson,placed on IL
22168,2017-12-03,Knicks,,Kristaps Porzingis,placed on IL with sprained right ankle
22169,2017-12-03,Knicks,,Tim Hardaway Jr.,placed on IL with sore left leg
22170,2017-12-03,Knicks,Frank Ntilikina,,activated from IL
22171,2017-12-03,Knicks,Joakim Noah,,activated from IL
22172,2017-12-03,Lakers,,Thomas Bryant,placed on IL
22173,2017-12-03,Lakers,Ivica Zubac,,activated from IL
22174,2017-12-03,Magic,,Khem Birch,placed on IL
22175,2017-12-03,Rockets,Demetrius Jackson,,activated from IL
22176,2017-12-03,Spurs,,William) Tony Parker,placed on IL for rest
22177,2017-12-03,Spurs,,Rudy Gay,placed on IL with sore right ankle/heel
22178,2017-12-03,Spurs,Derrick White,,activated from IL
22179,2017-12-03,Thunder,,Dakari Johnson,placed on IL
22180,2017-12-03,Thunder,Kyle Singler,,activated from IL
22181,2017-12-04,Bulls,,Antonio Blakeney,placed on IL
22182,2017-12-04,Grizzlies,,Ivan Rabb,placed on IL
22183,2017-12-04,Grizzlies,,Kobi Simmons,placed on IL
22184,2017-12-04,Hawks,,John Collins,placed on IL with left shoulder injury
22185,2017-12-04,Hawks,,Josh Magette,placed on IL
22186,2017-12-04,Hawks,Nicolas Brussino,,activated from IL
22187,2017-12-04,Hornets,,Julyan Stone,placed on IL
22188,2017-12-04,Hornets,Kemba Walker,,activated from IL
22189,2017-12-04,Jazz,,Nate Wolters,placed on IL
22190,2017-12-04,Jazz,,Tony Bradley,placed on IL
